Time,Voltage
0,-69.91268166796614
0.1,-69.82552646779396
0.2,-69.7385340939145
0.30000000000000004,-69.65170424171879
0.4,-69.56503660750536
0.5,-69.47853088831438
0.6,-69.39218678180808
0.7,-69.30600398620948
0.7999999999999999,-69.2199822002784
0.8999999999999999,-69.134121123306
0.9999999999999999,-69.04842045511674
1.0999999999999999,-68.96287989607251
1.2,-68.8774991470767
1.3,-68.7922779095774
1.4000000000000001,-68.70721588556961
1.5000000000000002,-68.62231277759666
1.6000000000000003,-68.53756828875096
1.7000000000000004,-68.45298212267423
1.8000000000000005,-68.3685539835574
1.9000000000000006,-68.28428357614033
2.0000000000000004,-68.20017060571112
2.1000000000000005,-68.11621477810564
2.2000000000000006,-68.0324157997066
2.3000000000000007,-67.94877337744278
2.400000000000001,-67.86528721878815
2.500000000000001,-67.78195703176098
2.600000000000001,-67.69878252492282
2.700000000000001,-67.61576340737751
2.800000000000001,-67.53289938877026
2.9000000000000012,-67.45019017928654
3.0000000000000013,-67.36763548965108
3.1000000000000014,-67.28523503112682
3.2000000000000015,-67.20298851551382
3.3000000000000016,-67.12089565514825
3.4000000000000017,-67.0389561629012
3.5000000000000018,-66.95716975217769
3.600000000000002,-66.87553613691547
3.700000000000002,-66.79405503158398
3.800000000000002,-66.7127261511832
3.900000000000002,-66.63154921124251
4.000000000000002,-66.5505239278196
4.100000000000001,-66.46965001749922
4.200000000000001,-66.38892719739218
4.300000000000001,-66.30835518513405
4.4,-66.22793369888407
4.5,-66.14766245732399
4.6,-66.06754117965679
4.699999999999999,-65.9875695856056
4.799999999999999,-65.90774739541249
4.899999999999999,-65.82807432983716
4.999999999999998,-65.74855011015586
5.099999999999998,-65.6691744581601
5.1999999999999975,-65.58994709615543
5.299999999999997,-65.51086774696017
5.399999999999997,-65.43193613390427
5.4999999999999964,-65.35315198082792
5.599999999999996,-65.27451501208034
5.699999999999996,-65.19602495251857
5.799999999999995,-65.11768152750605
5.899999999999995,-65.03948446291143
5.999999999999995,-64.96143348510724
6.099999999999994,-64.88352832096851
6.199999999999994,-64.80576869787154
6.299999999999994,-64.7281543436925
6.399999999999993,-64.65068498680604
6.499999999999993,-64.573360356084
6.5999999999999925,-64.49618018089396
6.699999999999992,-64.4191441910979
6.799999999999992,-64.34225211705075
6.8999999999999915,-64.26550368959897
6.999999999999991,-64.18889864007915
7.099999999999991,-64.11243670031647
7.19999999999999,-64.03611760262334
7.29999999999999,-63.959941079797815
7.39999999999999,-63.88390686512213
7.499999999999989,-63.80801469236114
7.599999999999989,-63.73226429576086
7.699999999999989,-63.656655410046795
7.799999999999988,-63.58118777042243
7.899999999999988,-63.50586111256759
7.999999999999988,-63.430675172636796
8.099999999999987,-63.3556296872577
8.199999999999987,-63.28072439352931
8.299999999999986,-63.20595902902038
8.399999999999986,-63.13133333176761
8.499999999999986,-63.05684704027398
8.599999999999985,-62.982499893506926
8.699999999999985,-62.90829163089659
8.799999999999985,-62.834221992333944
8.899999999999984,-62.760290718168974
8.999999999999984,-62.686497549208774
9.099999999999984,-62.61284222671566
9.199999999999983,-62.5393244924052
9.299999999999983,-62.465944088444274
9.399999999999983,-62.39270075744905
9.499999999999982,-62.3195942424829
9.599999999999982,-62.2466242870544
9.699999999999982,-62.173790635115175
9.799999999999981,-62.10109303105776
9.89999999999998,-62.028531219713386
9.99999999999998,-61.95610494634981
